merk;model;kleur;prijs_excl_rijklaar;prijs_incl_rijklaar;artikelnummer;omschrijving;levering
Peugeot;KISBEE S 25 KM/H E5+;River Blue;2249,00;2499,00;KSB25-M5Z1;KISBEE 50 25KM/H M5 E5+ RIVER BLUE;Week 42 leverbaar
Peugeot;KISBEE S 25 KM/H E5+;Pearly Black;2249,00;2499,00;KSB25-M6NK;KISBEE S M6 E5+ 25 KM/H PEARLY BLACK(NK);Stock
Peugeot;KISBEE S SPECIAL 25 KM/H E5+;Pearly Black (Black Edition);2349,00;2599,00;KSBBE25-M5H6;KISBEE 50 BLACK EDITION 25KM/H M5 E5+ PEARLY BLACK;Week 42 leverbaar
Peugeot;KISBEE S SPECIAL 25 KM/H E5+;Adventure Green (Shadow);2349,00;2599,00;KSBSH25-M5V9;KISBEE 50 SHADOW 25KM/H M5 E5+ ADVENTURE GREEN;Week 42 leverbaar
Peugeot;KISBEE S SPECIAL 25 KM/H E5+;Meteor Grey (Sport);2349,00;2599,00;KSBSP25-M5W9;KISBEE SPORT M5 E5+ 25 KM/H METEOR GREY;Week 42 leverbaar
Peugeot;KISBEE 45 KM/H E5+;Pearly Black;2249,00;2499,00;KSB-M5NK;KISBEE 50 45KM/H M5 E5+ PEARLY BLACK;Beperkte stock
Peugeot;KISBEE 45 KM/H E5+;River Blue;2249,00;2499,00;KSB-M5Z1;KISBEE 50 45KM/H M5 E5+ RIVER BLUE;Week 42 leverbaar
Peugeot;KISBEE SPECIALS 45 KM/H E5+;Mad Black (Black Edition);2349,00;2599,00;KSBBE-M5H6;KISBEE 50 BLACK EDITION 45KM/H M5 E5+ MAD BLACK;Beperkte stock
Peugeot;KISBEE SPECIALS 45 KM/H E5+;Adventure Green (Shadow);2349,00;2599,00;KSBSH-M5V9;KISBEE 50 SHADOW 45KM/H M5 E5+ ADVENTURE GREEN;Stock
Peugeot;KISBEE SPECIALS 45 KM/H E5+;Meteor Grey (Sport);2349,00;2599,00;KSBSP-M5W9;KISBEE SPORT M5 E5+ 45 KM/H METEOR GREY;Stock
Peugeot;SPEEDFIGHT 4 45 KM/H E5+;Pearly Black/Mad Black;3299,00;3549,00;FIG4SL-M5H6;SPEEDFIGHT 50 45KM/H M5 E5+ PEARLY BLACK/MAD BLACK;Stock
Peugeot;SPEEDFIGHT 4 45 KM/H E5+;Y2 (kleurcode, naam niet vermeld);3299,00;3549,00;FIG4SL-M5Y2;SPEEDFIGHT4 M5 E5+ 45 KM/H (Y2);Week 42 leverbaar
SYM;FIDDLE II 25 KM/H E5+;Mat Black;1899,00;2149,00;FI25-M5BK007U;FIDDLE II 25KM E5P MAT BLACK (BK007U);Week 42 leverbaar
SYM;FIDDLE II 25 KM/H E5+;Black;1899,00;2149,00;FI25-M5BK5560S;FIDDLE II 25KM E5P BLACK (BK5560S);Week 44 leverbaar
SYM;FIDDLE II 25 KM/H E5+;Blue;1899,00;2149,00;FI25-M5BU283U;FIDDLE II 25KM E5P BLUE (BU283U);Week 42 leverbaar
SYM;FIDDLE II 25 KM/H E5+;Bronze Grey;1899,00;2149,00;FI25-M5GY446S;FIDDLE II 25KM E5P BRONZE GREY (GY446S);Week 44 leverbaar
SYM;FIDDLE IV 25 KM/H E5+;Black Gloss;2449,00;2699,00;FIV25-M5BK5560S;FIDDLE IV E5+ 25 KM/H BLACK GLOSS;Stock
SYM;FIDDLE IV 25 KM/H E5+;Mamba Green;2449,00;2699,00;FIV25-M5GNR5605U;FIDDLE IV E5+ 25 KM/H MAMBA GREEN;Beperkte stock
